user_id,item_id,item_type,timestamp,behavior_type,label,category,source_dataset
u75,i69,live_room,1700000000,exposure,0,sports,sample
u7,i49,live_room,1700000001,exposure,0,music,sample
u67,i62,live_room,1700000002,click,1,movie,sample
u50,i22,live_room,1700000003,click,1,food,sample
u63,i125,live_room,1700000004,click,1,study,sample
u22,i127,live_room,1700000005,click,1,music,sample
u2,i21,live_room,1700000006,click,1,sports,sample
u52,i74,live_room,1700000007,click,1,movie,sample
u45,i101,live_room,1700000008,click,1,study,sample
u63,i47,live_room,1700000009,click,1,study,sample
u78,i33,live_room,1700000010,exposure,0,sports,sample
u2,i39,live_room,1700000011,click,1,sports,sample
u73,i42,live_room,1700000012,click,1,game,sample
u40,i126,live_room,1700000013,click,1,game,sample
u33,i129,live_room,1700000014,click,1,sports,sample
u8,i14,live_room,1700000015,exposure,0,movie,sample
u57,i24,live_room,1700000016,click,1,game,sample
u39,i111,live_room,1700000017,click,1,sports,sample
u19,i50,live_room,1700000018,click,1,movie,sample
u76,i13,live_room,1700000019,exposure,0,music,sample
u29,i146,live_room,1700000020,click,1,movie,sample
u61,i155,live_room,1700000021,exposure,0,study,sample
u63,i71,live_room,1700000022,click,1,study,sample
u35,i144,live_room,1700000023,click,1,game,sample
u57,i48,live_room,1700000024,click,1,game,sample
u37,i137,live_room,1700000025,exposure,0,study,sample
u53,i68,live_room,1700000026,click,1,movie,sample
u7,i100,live_room,1700000027,click,1,food,sample
u62,i8,live_room,1700000028,click,1,movie,sample
u52,i20,live_room,1700000029,click,1,movie,sample
u63,i27,live_room,1700000030,exposure,0,sports,sample
u35,i54,live_room,1700000031,click,1,game,sample
u12,i148,live_room,1700000032,click,1,food,sample
u5,i17,live_room,1700000033,click,1,study,sample
u35,i150,live_room,1700000034,click,1,game,sample
u64,i44,live_room,1700000035,click,1,movie,sample
u67,i68,live_room,1700000036,exposure,0,movie,sample
u0,i144,live_room,1700000037,click,1,game,sample
u25,i15,live_room,1700000038,click,1,sports,sample
u19,i105,live_room,1700000039,exposure,0,sports,sample
u25,i17,live_room,1700000040,click,1,study,sample
u18,i5,live_room,1700000041,click,1,study,sample
u24,i132,live_room,1700000042,exposure,0,game,sample
u16,i153,live_room,1700000043,click,1,sports,sample
u72,i40,live_room,1700000044,click,1,food,sample
u42,i10,live_room,1700000045,exposure,0,food,sample
u12,i142,live_room,1700000046,exposure,0,food,sample
u17,i144,live_room,1700000047,click,1,game,sample
u1,i124,live_room,1700000048,click,1,food,sample
u70,i15,live_room,1700000049,click,1,sports,sample
u0,i150,live_room,1700000050,click,1,game,sample
u5,i131,live_room,1700000051,click,1,study,sample
u29,i95,live_room,1700000052,click,1,study,sample
u22,i49,live_room,1700000053,exposure,0,music,sample
u39,i81,live_room,1700000054,click,1,sports,sample
u13,i34,live_room,1700000055,click,1,food,sample
u77,i19,live_room,1700000056,click,1,music,sample
u61,i94,live_room,1700000057,click,1,food,sample
u2,i114,live_room,1700000058,click,1,game,sample
u34,i19,live_room,1700000059,exposure,0,music,sample
u77,i49,live_room,1700000060,click,1,music,sample
u25,i153,live_room,1700000061,exposure,0,sports,sample
u39,i3,live_room,1700000062,click,1,sports,sample
u67,i14,live_room,1700000063,click,1,movie,sample
u0,i156,live_room,1700000064,exposure,0,game,sample
u59,i124,live_room,1700000065,click,1,food,sample
u67,i2,live_room,1700000066,exposure,0,movie,sample
u20,i129,live_room,1700000067,click,1,sports,sample
u61,i96,live_room,1700000068,exposure,0,game,sample
u23,i65,live_room,1700000069,click,1,study,sample
u9,i104,live_room,1700000070,exposure,0,movie,sample
u42,i40,live_room,1700000071,click,1,food,sample
u67,i134,live_room,1700000072,click,1,movie,sample
u38,i97,live_room,1700000073,exposure,0,music,sample
u25,i51,live_room,1700000074,exposure,0,sports,sample
u47,i29,live_room,1700000075,click,1,study,sample
u36,i23,live_room,1700000076,click,1,study,sample
u15,i28,live_room,1700000077,click,1,food,sample
u41,i106,live_room,1700000078,click,1,food,sample
u78,i80,live_room,1700000079,exposure,0,movie,sample
u42,i10,live_room,1700000080,click,1,food,sample
u18,i41,live_room,1700000081,click,1,study,sample
u22,i7,live_room,1700000082,click,1,music,sample
u71,i16,live_room,1700000083,click,1,food,sample
